"# 4-Deck Blackjack Simulation Results (10,000 Shoes)"
# Average Edge (Played Hands Only): 0.1154%
"# Total Hands Played: 154,374"
"# Bet Spread: TCâ‰¤0=$0, TC+1=$5, TC+2=$10, TC+3=$15, TC+4=$25, TC+5+=$25"
# Generated: 2025-05-26 14:13:11

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,0,0.000000,0.000000,0.00,0.00
-9,0,0.000000,0.000000,0.00,0.00
-8,0,0.000000,0.000000,0.00,0.00
-7,0,0.000000,0.000000,0.00,0.00
-6,0,0.000000,0.000000,0.00,0.00
-5,0,0.000000,0.000000,0.00,0.00
-4,0,0.000000,0.000000,0.00,0.00
-3,0,0.000000,0.000000,0.00,0.00
-2,0,0.000000,0.000000,0.00,0.00
-1,0,0.000000,0.000000,0.00,0.00
0,0,0.000000,0.000000,0.00,0.00
1,53417,34.602329,-0.014201,-4277.50,301210.00
2,30107,19.502636,-0.014538,-4910.00,337730.00
3,19701,12.761864,-0.019389,-6375.00,328800.00
4,13333,8.636817,-0.007748,-2875.00,371075.00
5,9546,6.183684,0.020682,5475.00,264725.00
6,6968,4.513713,0.001890,362.50,191775.00
7,4492,2.909816,0.005360,662.50,123600.00
8,3544,2.295723,0.001798,175.00,97325.00
9,2934,1.900579,0.006608,525.00,79450.00
10,2263,1.465920,0.052028,3175.00,61025.00
