Deck_Count,Penetration,Total_Hands,TC_-10,TC_-09,TC_-08,TC_-07,TC_-06,TC_-05,TC_-04,TC_-03,TC_-02,TC_-01,TC_+00,TC_+01,TC_+02,TC_+03,TC_+04,TC_+05,TC_+06,TC_+07,TC_+08,TC_+09,TC_+10
1,0.0,10000,3.61,0.5499999999999999,3.1,0.88,5.0,1.91,7.870000000000001,3.65,11.85,4.46,17.299999999999997,4.31,11.83,3.3300000000000005,7.31,1.95,4.58,0.8999999999999999,2.25,0.44999999999999996,2.91
1,0.5,10000,1.63,0.7100000000000001,1.6099999999999999,1.53,3.0700000000000003,4.16,5.050000000000001,6.1899999999999995,8.649999999999999,8.959999999999999,15.39,9.73,8.28,6.79,5.4399999999999995,3.8600000000000003,3.05,1.7000000000000002,1.41,1.0699999999999998,1.72
1,0.75,10000,4.07,0.61,3.06,1.06,4.78,2.2399999999999998,6.660000000000001,4.25,9.91,5.86,14.59,6.34,9.2,4.54,7.3,2.44,4.54,1.1199999999999999,2.88,0.6,3.95
2,0.0,10000,3.58,0.6799999999999999,2.16,1.38,4.26,3.1399999999999997,6.22,4.51,10.54,10.33,13.04,9.84,9.73,4.38,5.65,1.92,3.08,1.01,1.81,0.3,2.44
2,1.0,10000,0.24,0.3,0.53,0.8200000000000001,1.47,2.58,4.02,6.41,10.32,17.69,11.63,17.0,9.9,6.36,4.06,2.83,1.6199999999999999,0.8200000000000001,0.64,0.38,0.38
2,1.25,10000,0.91,0.75,0.8699999999999999,1.41,1.9800000000000002,3.15,4.3999999999999995,6.4,9.85,15.22,10.91,14.549999999999999,9.370000000000001,5.99,4.89,3.16,2.2800000000000002,1.3,0.95,0.69,0.97
2,1.5,10000,1.94,0.66,1.23,1.4200000000000002,2.71,3.2300000000000004,4.7,6.15,9.56,14.7,10.42,13.600000000000001,8.260000000000002,6.3100000000000005,4.41,3.18,2.23,1.41,0.9400000000000001,0.89,2.0500000000000003
2,1.75,10000,2.92,0.66,1.7000000000000002,1.5699999999999998,3.38,3.11,5.34,5.609999999999999,9.55,11.29,10.86,11.01,9.26,5.489999999999999,5.17,2.79,3.09,1.24,1.6099999999999999,0.66,3.6900000000000004
3,0.0,10000,3.2300000000000004,0.63,1.9800000000000002,1.27,3.18,2.4299999999999997,5.53,4.89,8.92,10.16,17.47,10.59,9.5,4.71,4.75,2.36,2.74,0.91,1.63,0.59,2.53
3,1.5,10000,0.08,0.08,0.2,0.2,0.6799999999999999,1.48,3.09,5.4,9.41,15.939999999999998,23.98,16.63,10.17,6.18,3.3000000000000003,1.6099999999999999,0.8500000000000001,0.27,0.33999999999999997,0.06999999999999999,0.04
3,1.75,10000,0.22,0.08,0.4,0.5599999999999999,1.17,1.8499999999999999,3.63,6.660000000000001,9.67,16.63,20.990000000000002,14.729999999999999,9.32,5.63,3.7199999999999998,2.01,1.29,0.73,0.43,0.19,0.09
3,2.0,10000,0.33,0.3,0.33,0.59,1.16,1.87,3.3300000000000005,5.0,9.15,15.03,20.31,15.17,9.950000000000001,6.47,4.390000000000001,2.78,1.71,0.91,0.5700000000000001,0.3,0.35000000000000003
3,2.25,10000,0.8999999999999999,0.42,0.69,1.0999999999999999,1.72,2.78,4.12,6.23,9.66,14.37,18.02,14.790000000000001,9.25,5.19,3.75,2.3800000000000003,1.63,1.03,0.72,0.35000000000000003,0.8999999999999999
3,2.5,10000,1.8800000000000001,0.8999999999999999,1.0699999999999998,1.08,2.2399999999999998,2.7199999999999998,4.08,6.4,8.88,13.05,17.78,13.51,8.459999999999999,5.42,3.6700000000000004,2.75,1.91,0.9900000000000001,0.97,0.6,1.6400000000000001
3,2.75,10000,2.37,0.65,1.22,1.05,2.63,2.29,4.83,5.6000000000000005,9.48,11.48,16.009999999999998,10.94,8.75,5.7700000000000005,4.95,2.68,2.5100000000000002,1.29,1.47,0.69,3.34
4,0.0,10000,2.3,0.75,1.47,1.49,2.96,2.27,5.09,4.8500000000000005,8.64,12.280000000000001,18.21,12.870000000000001,9.75,5.17,4.21,2.01,1.8399999999999999,0.73,1.18,0.5499999999999999,1.38
4,2.0,10000,0.0,0.0,0.02,0.15,0.4,0.98,2.21,5.01,9.39,18.21,25.3,18.81,11.05,4.8500000000000005,2.06,0.91,0.45999999999999996,0.08,0.06,0.04,0.01
4,2.25,10000,0.02,0.02,0.11,0.21,0.5,1.29,2.9899999999999998,5.87,10.549999999999999,19.21,23.95,16.39,8.95,5.04,2.37,1.1900000000000002,0.6799999999999999,0.27999999999999997,0.16,0.1,0.12
4,2.5,10000,0.19,0.25,0.33,0.47000000000000003,1.1400000000000001,1.81,3.94,6.12,10.66,18.490000000000002,20.64,15.290000000000001,8.58,5.050000000000001,2.85,1.95,1.25,0.44,0.26,0.15,0.13999999999999999
4,2.75,10000,0.22999999999999998,0.22,0.38999999999999996,0.84,1.5,2.5100000000000002,3.9699999999999998,6.069999999999999,9.94,17.65,20.82,15.950000000000001,8.61,4.8500000000000005,2.75,1.7500000000000002,1.06,0.45999999999999996,0.25,0.09,0.09
4,3.0,10000,0.64,0.43,0.5,0.79,1.5,2.78,3.88,5.75,8.76,15.6,18.310000000000002,16.220000000000002,9.59,5.55,3.5999999999999996,2.2399999999999998,1.43,0.79,0.6799999999999999,0.43,0.53
4,3.25,10000,1.05,0.73,0.65,0.9299999999999999,1.49,2.71,3.7800000000000002,5.66,8.43,13.87,18.6,15.809999999999999,9.28,5.93,4.02,2.4299999999999997,1.59,1.1199999999999999,0.67,0.51,0.74
4,3.5,10000,1.21,0.73,0.9199999999999999,1.3599999999999999,1.8599999999999999,2.71,4.35,6.2700000000000005,9.22,14.77,16.56,13.87,8.64,5.45,3.5700000000000003,2.46,1.66,1.23,0.97,0.62,1.5699999999999998
4,3.75,10000,2.53,0.61,1.08,0.9299999999999999,2.27,2.45,3.74,5.779999999999999,9.36,13.19,17.24,13.350000000000001,9.29,5.18,3.61,2.33,2.33,1.23,1.0699999999999998,0.5599999999999999,1.87
6,0.0,10000,1.43,0.5,0.98,0.76,2.03,1.92,3.8699999999999997,5.26,9.84,13.389999999999999,20.91,13.389999999999999,8.93,4.6,4.2299999999999995,2.17,2.11,0.8999999999999999,1.09,0.27999999999999997,1.41
6,3.0,10000,0.0,0.0,0.0,0.0,0.16,0.74,1.6500000000000001,3.6999999999999997,9.719999999999999,22.07,28.87,18.75,8.75,3.27,1.25,0.73,0.3,0.04,0.0,0.0,0.0
6,3.25,10000,0.0,0.0,0.01,0.03,0.11,0.7799999999999999,2.06,4.02,9.379999999999999,20.349999999999998,29.86,17.919999999999998,8.04,4.08,1.95,0.8099999999999999,0.47000000000000003,0.12,0.01,0.0,0.0
6,3.5,10000,0.0,0.02,0.03,0.25,0.41000000000000003,0.6799999999999999,1.72,4.81,8.97,18.08,27.0,18.77,10.489999999999998,4.760000000000001,1.8499999999999999,1.24,0.7000000000000001,0.13999999999999999,0.05,0.03,0.0
6,3.75,10000,0.06,0.06,0.04,0.09,0.63,1.23,2.02,3.9600000000000004,8.780000000000001,18.459999999999997,26.83,18.3,9.610000000000001,5.0,2.52,1.06,0.58,0.44,0.16999999999999998,0.13999999999999999,0.02
6,4.0,10000,0.0,0.06,0.11,0.38,0.5700000000000001,1.1199999999999999,2.23,4.18,9.030000000000001,18.04,27.07,18.68,10.25,4.390000000000001,1.78,1.1400000000000001,0.53,0.35000000000000003,0.06999999999999999,0.02,0.0
6,4.25,10000,0.04,0.03,0.16,0.47000000000000003,0.88,1.25,2.17,4.590000000000001,8.649999999999999,16.42,25.319999999999997,19.61,9.16,5.47,2.68,1.43,0.8699999999999999,0.54,0.16999999999999998,0.09,0.0
6,4.5,10000,0.13,0.15,0.26,0.61,1.1199999999999999,1.54,2.46,4.65,8.74,17.76,25.14,16.96,9.36,5.18,2.2800000000000002,1.52,0.8999999999999999,0.7100000000000001,0.29,0.1,0.13999999999999999
6,4.75,10000,0.59,0.24,0.5,0.54,1.53,1.6400000000000001,2.74,5.609999999999999,9.39,17.43,24.84,15.540000000000001,8.73,4.2,2.8400000000000003,1.68,0.8200000000000001,0.47000000000000003,0.33999999999999997,0.19,0.13999999999999999
6,5.0,10000,0.73,0.26,0.44999999999999996,0.77,1.6199999999999999,2.17,3.2199999999999998,5.510000000000001,8.91,15.950000000000001,22.8,14.81,8.35,5.74,3.42,1.7399999999999998,1.35,0.8500000000000001,0.54,0.25,0.5599999999999999
6,5.25,10000,0.97,0.59,0.8099999999999999,0.88,1.76,2.48,3.2800000000000002,4.590000000000001,9.180000000000001,15.42,22.5,15.89,8.24,4.67,2.98,1.82,1.34,0.8200000000000001,0.59,0.4,0.79
6,5.5,10000,0.84,0.47000000000000003,0.76,0.97,1.3299999999999998,1.76,2.52,4.32,7.79,14.649999999999999,22.0,16.619999999999997,9.16,5.58,3.53,2.63,1.53,0.9400000000000001,0.7799999999999999,0.58,1.24
6,5.75,10000,1.37,0.33999999999999997,0.8999999999999999,0.8699999999999999,2.0500000000000003,1.96,3.9699999999999998,4.569999999999999,9.27,14.27,21.48,13.719999999999999,8.68,5.45,3.54,2.39,2.0500000000000003,0.91,0.7100000000000001,0.25,1.25
8,0.0,10000,0.75,0.3,0.8,0.79,1.28,1.4200000000000002,3.1199999999999997,3.62,6.97,13.8,24.46,16.27,9.879999999999999,5.76,3.44,1.47,1.63,0.89,1.03,0.6,1.72
8,4.0,10000,0.0,0.0,0.0,0.02,0.09,0.35000000000000003,0.83,2.02,7.090000000000001,22.5,36.980000000000004,17.25,7.99,3.0300000000000002,1.41,0.27999999999999997,0.11,0.04,0.01,0.0,0.0
8,4.25,10000,0.0,0.0,0.0,0.0,0.02,0.22,1.3599999999999999,2.62,8.28,20.580000000000002,36.559999999999995,20.06,6.7,2.25,1.13,0.22,0.0,0.0,0.0,0.0,0.0
8,4.5,10000,0.0,0.0,0.0,0.1,0.37,0.63,1.79,3.9800000000000004,8.219999999999999,19.220000000000002,31.81,19.71,9.22,3.3300000000000005,1.0999999999999999,0.3,0.06999999999999999,0.12,0.03,0.0,0.0
8,4.75,10000,0.0,0.0,0.0,0.0,0.15,0.69,1.59,4.82,9.62,18.75,32.269999999999996,18.8,7.7700000000000005,3.6799999999999997,1.22,0.4,0.12,0.05,0.06999999999999999,0.0,0.0
8,5.0,10000,0.0,0.0,0.02,0.13999999999999999,0.38,0.9299999999999999,1.8599999999999999,4.5,7.430000000000001,19.36,32.05,18.35,8.38,3.5999999999999996,2.03,0.5700000000000001,0.29,0.09,0.02,0.0,0.0
8,5.25,10000,0.0,0.02,0.08,0.08,0.25,0.76,2.2399999999999998,4.390000000000001,9.44,19.869999999999997,29.24,18.54,8.58,4.42,1.58,0.37,0.11,0.03,0.0,0.0,0.0
8,5.5,10000,0.01,0.02,0.08,0.22999999999999998,0.47000000000000003,1.02,2.03,3.4000000000000004,7.109999999999999,18.81,30.709999999999997,18.91,9.33,4.01,2.04,0.8999999999999999,0.54,0.31,0.05,0.01,0.01
8,5.75,10000,0.0,0.02,0.19,0.44,0.6,1.25,2.15,4.14,8.959999999999999,18.240000000000002,29.12,17.54,9.21,4.9799999999999995,1.78,0.8099999999999999,0.42,0.13999999999999999,0.01,0.0,0.0
8,6.0,10000,0.05,0.08,0.13,0.38,0.8999999999999999,1.54,2.93,4.8,9.1,16.74,27.85,17.25,9.4,4.24,2.2800000000000002,1.06,0.44,0.31,0.25,0.18,0.09
8,6.25,10000,0.1,0.16,0.19,0.5499999999999999,1.1400000000000001,1.46,3.39,5.28,9.41,17.990000000000002,29.74,15.75,7.68,3.36,1.92,0.95,0.51,0.22,0.05,0.1,0.05
8,6.5,10000,0.32,0.13999999999999999,0.44999999999999996,0.7000000000000001,1.4500000000000002,1.7500000000000002,2.92,5.37,9.31,16.13,25.72,17.2,8.83,4.18,2.36,1.32,0.86,0.49,0.27,0.13999999999999999,0.09
8,6.75,10000,0.47000000000000003,0.25,0.51,0.65,0.72,1.4000000000000001,2.78,4.45,9.43,18.310000000000002,27.589999999999996,15.83,7.66,4.32,2.39,1.3599999999999999,0.8200000000000001,0.47000000000000003,0.38,0.13,0.08
8,7.0,10000,0.38,0.22,0.38,0.45999999999999996,0.83,1.66,2.15,3.46,7.71,15.6,25.53,16.37,9.0,5.52,4.05,2.74,1.51,0.75,0.51,0.51,0.66
8,7.25,10000,0.32,0.26,0.41000000000000003,1.04,1.25,1.73,2.44,3.92,8.66,17.27,25.35,16.39,8.53,5.319999999999999,3.06,1.53,0.91,0.48,0.32,0.26,0.5499999999999999
8,7.5,10000,0.96,0.29,0.44,0.73,0.9299999999999999,1.41,2.68,5.8999999999999995,9.01,16.86,26.06,15.740000000000002,8.57,4.15,1.9800000000000002,1.4000000000000001,0.8699999999999999,0.5700000000000001,0.47000000000000003,0.33999999999999997,0.64
8,7.75,10000,0.83,0.3,0.62,0.73,1.5699999999999998,1.58,3.01,4.36,8.63,14.38,24.11,14.19,9.44,5.63,3.5999999999999996,2.1,1.59,0.79,0.7799999999999999,0.33,1.43
